description,url,article_upload_date
"WTO: Members make progress with SPS Agreement Sixth Review, discuss trade concerns.",https://www.wto.org/english/news_e/news24_e/sps_22mar24_e.htm,2024-04-01
"EAM Jaishankar sees tech, trade booster for Malaysia ties.",https://timesofindia.indiatimes.com/india/eam-jaishankar-sees-tech-trade-booster-for-malaysia-ties/articleshow/108860649.cms,2024-04-01
"India a potential superpower, will seal FTAs on our terms: Goyal.",https://indianexpress.com/article/india/india-a-potential-superpower-will-seal-ftas-on-our-terms-goyal-9241002/,2024-04-01
DGFT notifies policy for general authorisation for export of certain goods under SCOMET category,https://economictimes.indiatimes.com/news/economy/foreign-trade/dgft-notifies-policy-for-general-authorisation-for-export-of-certain-goods-under-scomet-category/articleshow/108827971.cms,2024-04-01
"Govt relaxes export norms for dual-use telecom equipment, information security software",https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-relaxes-export-norms-for-dual-use-telecom-equipment-information-security-software/articleshow/108828810.cms,2024-04-01
No change in trade policy with India: Pakistan,https://economictimes.indiatimes.com/news/economy/foreign-trade/no-change-in-trade-policy-with-india-pakistan/articleshow/108849978.cms,2024-04-01
Indian rice traders hike prices to mirror higher export duty,https://economictimes.indiatimes.com/news/economy/foreign-trade/indian-rice-traders-hike-prices-to-mirror-higher-export-duty/articleshow/108853020.cms,2024-04-01
Why Pakistan needs to get India to yes on trade,https://economictimes.indiatimes.com/news/economy/foreign-trade/why-pakistan-needs-to-get-india-to-yes-on-trade/articleshow/108864249.cms,2024-04-01
Export growth for 2024 will be led by PLI and Make In India schemes: GTRI,https://economictimes.indiatimes.com/news/economy/foreign-trade/export-growth-for-2024-will-be-led-by-pli-and-make-in-india-schemes-gtri/articleshow/108910894.cms,2024-04-01
Exporters seek exemption from 45-day payment rule for supplies from MSEs,https://economictimes.indiatimes.com/news/economy/foreign-trade/exporters-seek-exemption-from-45-day-payment-rule-for-supplies-from-mses/articleshow/108914005.cms,2024-04-01
"China expands access for imported food, agricultural products, fostering globally shared market.",https://www.globaltimes.cn/page/202403/1309556.shtml,2024-03-27
Exporters work on product identification problems under UK’s replacement scheme for GSP.,https://www.thehindubusinessline.com/economy/exporters-work-on-product-identification-problems-under-uks-replacement-scheme-for-gsp/article67994467.ece,2024-03-27
"Wherehouse? Spice, dry fruit importers facing GST heat",https://economictimes.indiatimes.com/news/economy/foreign-trade/wherehouse-spice-dry-fruit-importers-facing-gst-heat/articleshow/108799978.cms,2024-03-27
"India’s trade dependence on China, EU rose in 2023: UNCTAD",https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-trade-dependence-on-china-eu-rose-in-2023-unctad/articleshow/108712367.cms,2024-03-26
India extends ban on onion exports indefinitely ahead of general election,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-extends-ban-on-onion-exports-indefinitely-ahead-of-general-election/articleshow/108725859.cms,2024-03-26
Pakistan to 'seriously' consider restoring trade ties with India: Foreign Minister Dar,https://economictimes.indiatimes.com/news/economy/foreign-trade/pakistan-to-seriously-consider-restoring-trade-ties-with-india-foreign-minister-dar/articleshow/108744240.cms,2024-03-26
"UK, Oman trade agreements may figure in commerce ministry's 100-day agenda for new Govt: official",https://economictimes.indiatimes.com/news/economy/foreign-trade/uk-oman-trade-agreements-may-figure-in-commerce-ministrys-100-day-agenda-for-new-govt-official/articleshow/108744976.cms,2024-03-26
Miners urge government not to impose export duty on low-grade ore,https://economictimes.indiatimes.com/news/economy/foreign-trade/miners-urge-government-not-to-impose-export-duty-on-low-grade-ore/articleshow/108754803.cms,2024-03-26
India initiates anti-dumping probe into import of aluminium foil from China,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-initiates-anti-dumping-probe-into-import-of-aluminium-foil-from-china/articleshow/108778208.cms,2024-03-26
India's rice exports at risk as exporters face huge tax demand-sources,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-rice-exports-at-risk-as-exporters-face-huge-tax-demand-sources/articleshow/108790617.cms,2024-03-26
"Indian grapes a hit in European markets, pushes exports up.",https://indianexpress.com/article/cities/pune/indian-grapes-hit-european-market-exports-9214060/,2024-03-18
India extends export curbs on deoiled rice bran until end-July,https://www.nasdaq.com/articles/india-extends-export-curbs-on-deoiled-rice-bran-until-end-july,2024-03-18
Cabinet approves signing of an Agreement between India and Bhutan in the area of Food Safety.,https://pib.gov.in/PressReleasePage.aspx?PRID=2014133,2024-03-15
Cabinet approves Inter-Governmental Framework Agreement India and United Arab Emirates on cooperation for the empowerment and operation of the India-Middle East Europe Economic Corridor.,https://pib.gov.in/PressReleasePage.aspx?PRID=2014131,2024-03-15
"India, Dominican Republic ink trade protocol",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-dominican-republic-to-set-up-institutional-mechanism-to-promote-trade-relations/articleshow/108461888.cms,2024-03-15
DGFT inks pact with DHL to train MSMEs on e-commerce exports,https://economictimes.indiatimes.com/news/economy/foreign-trade/dgft-inks-pact-with-dhl-to-train-msmes-on-e-commerce-exports/articleshow/108500302.cms,2024-03-15
"Centre imposes minimum export price of $2,000 per tonne on honey till December",https://economictimes.indiatimes.com/news/economy/foreign-trade/centre-imposes-minimum-export-price-of-2000-per-tonne-on-honey-till-december/articleshow/108501282.cms,2024-03-15
PH seen to import more rice as harvest may fall short this year.,https://business.inquirer.net/449449/ph-seen-to-import-more-rice-as-harvest-may-fall-short-this-year,2024-03-13
"EoUs, SEZs to get RoDTEP sops, till September 30.",https://www.thehindu.com/business/eous-sezs-to-get-rodtep-sops-till-september-30/article67930196.ece,2024-03-13
Will get duty-free access to India for selected agri products: Switzerland.,https://www.business-standard.com/industry/news/will-get-duty-free-access-to-india-for-selected-agri-products-switzerland-124031000565_1.html,2024-03-13
TEPA: Norway to eliminate customs duties for almost 98 pc of imports from India,https://economictimes.indiatimes.com/news/economy/foreign-trade/tepa-norway-to-eliminate-customs-duties-for-almost-98-pc-of-imports-from-india/articleshow/108372805.cms,2024-03-13
Trade game-changer in making? Several countries willing to start trading with India in rupee,https://economictimes.indiatimes.com/news/economy/foreign-trade/trade-game-changer-in-making-several-countries-willing-to-start-trading-with-india-in-rupee/articleshow/108388218.cms,2024-03-13
"Centre exempts gold import by RBI from customs duty, agri cess",https://economictimes.indiatimes.com/news/economy/foreign-trade/centre-exempts-gold-import-by-rbi-from-customs-duty-agri-cess/articleshow/108453581.cms,2024-03-13
Government exempts certain exporting units from quality control orders with conditions.,https://economictimes.indiatimes.com/news/economy/foreign-trade/government-exempts-certain-exporting-units-from-quality-control-orders-with-conditions/articleshow/108334702.cms,2024-03-11
"Government of India notifies extension of Remission of Duties and Taxes on Exported Products support to Advance Authorisation Holders, Export Oriented Units and Special Economic Zones Units.",https://pib.gov.in/PressReleasePage.aspx?PRID=2012779,2024-03-11
"""India will be world's premier manufacturing, service hub"": Swiss Secretary lauds India-EFTA Trade Economic Partnership Agreement",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-will-be-worlds-premier-manufacturing-service-hub-swiss-secretary-lauds-india-efta-trade-economic-partnership-agreement/articleshow/108370797.cms,2024-03-11
TEPA: Norway to eliminate customs duties for almost 98 pc of imports from India,https://economictimes.indiatimes.com/news/economy/foreign-trade/tepa-norway-to-eliminate-customs-duties-for-almost-98-pc-of-imports-from-india/articleshow/108372805.cms,2024-03-11
Trade game-changer in making? Several countries willing to start trading with India in rupee,https://economictimes.indiatimes.com/news/economy/foreign-trade/trade-game-changer-in-making-several-countries-willing-to-start-trading-with-india-in-rupee/articleshow/108388218.cms,2024-03-11
"India permits 64,400 tonnes of onion exports to UAE, Bangladesh",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-permits-64400-tonnes-of-onion-exports-to-uae-bangladesh/articleshow/108195918.cms,2024-03-08
"India allows export of 30,000 tonnes of non-basmati white rice to Tanzania",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-allows-export-of-30000-tonnes-of-non-basmati-white-rice-to-tanzania/articleshow/108196290.cms,2024-03-08
"Govt launches mission to boost oilseeds' production, cut imports of cooking oils",https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-launches-mission-to-boost-oilseeds-production-cut-imports-of-cooking-oils/articleshow/108212299.cms,2024-03-08
RBI asks OMCs to pay for some oil imports in Rupees next FY,https://economictimes.indiatimes.com/news/economy/foreign-trade/rbi-asks-omcs-to-pay-for-some-oil-imports-in-rupees-next-fy/articleshow/108233868.cms,2024-03-08
India may give quota-based duty concession on gold imports from Switzerland under EFTA trade pact,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-may-give-quota-based-duty-concession-on-gold-imports-from-switzerland-under-efta-trade-pact/articleshow/108266695.cms,2024-03-08
"India allows onion export to Bahrain, Mauritius, Bhutan",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-allows-onion-export-to-bahrain-mauritius-bhutan/articleshow/108274252.cms,2024-03-08
India mulls quota-based duty cuts on gold imports to Switzerland under EFTA,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-mulls-quota-based-duty-cuts-on-gold-imports-to-switzerland-under-efta/articleshow/108275692.cms,2024-03-08
Qatar’s Fresh Vegetable Import Ban: Jordan’s Precautionary Measures Unveiled.,https://www.watanserb.com/en/2024/02/29/qatars-fresh-vegetable-import-ban-jordans-precautionary-measures-unveiled/,2024-03-01
India's basmati rice exports to fall as Pakistan's surge,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-basmati-rice-exports-to-fall-as-pakistans-surge/articleshow/108106004.cms,2024-03-01
Diamond traders in a fix as G7's Antwerp diktat comes into effect,https://economictimes.indiatimes.com/news/economy/foreign-trade/diamond-traders-in-a-fix-as-g7s-antwerp-diktat-comes-into-effect/articleshow/108117026.cms,2024-03-01
"WTO: Fisheries subsidies are vital for developing countries, says India",https://www.business-standard.com/economy/news/wto-mc13-fisheries-subsidies-are-vital-for-developing-nations-says-india-124022701133_1.html,2024-02-28
"Indonesia tenders to buy 300,000 metric tons rice, traders say.",https://www.nasdaq.com/articles/indonesia-tenders-to-buy-300000-metric-tons-rice-traders-say,2024-02-28
India’s poultry exports set for a new record this fiscal.,https://www.thehindubusinessline.com/economy/agri-business/indias-poultry-exports-set-for-a-new-record-this-fiscal/article67891679.ece,2024-02-28
"Jewellery, auto exports tap Africa, C Asia",https://economictimes.indiatimes.com/news/economy/foreign-trade/jewellery-auto-exports-tap-africa-c-asia/articleshow/107990930.cms,2024-02-28
India considers export tax on low-grade iron ore,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-considers-export-tax-on-low-grade-iron-ore-sources-say/articleshow/108015484.cms,2024-02-28
India considers export tax on low-grade iron ore,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-considers-export-tax-on-low-grade-iron-ore-sources-say/articleshow/108015484.cms,2024-02-28
"Vietnam imports husked brown rice from India for re-exports, sources say",https://economictimes.indiatimes.com/news/economy/foreign-trade/vietnam-imports-husked-brown-rice-from-india-for-re-exports-sources-say/articleshow/108040852.cms,2024-02-28
"Govt allows onion exports to Bangladesh, Mauritius, Bahrain, Bhutan",https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-allows-onion-exports-to-bangladesh-mauritius-bahrain-bhutan/articleshow/107917067.cms,2024-02-26
Indian steel mills seek iron ore export ban as China sales jump,https://economictimes.indiatimes.com/news/economy/foreign-trade/indian-steel-mills-seek-iron-ore-export-ban-as-china-sales-jump/articleshow/107934978.cms,2024-02-26
"Jewellery, auto exports tap Africa, C Asia",https://economictimes.indiatimes.com/news/economy/foreign-trade/jewellery-auto-exports-tap-africa-c-asia/articleshow/107990930.cms,2024-02-26
"Government extends 20% export duty on parboiled rice, implements zero-duty import for yellow peas.",https://www.thehindubusinessline.com/economy/agri-business/government-extends-20-export-duty-on-parboiled-rice-implements-zero-duty-import-for-yellow-peas/article67872328.ece,2024-02-22
Govt not considering cut in import duty on rubber: Official,https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-not-considering-cut-in-import-duty-on-rubber-official/articleshow/107826723.cms,2024-02-22
Centre warns of price cap on tur dal imports,https://economictimes.indiatimes.com/news/economy/foreign-trade/centre-warns-of-price-cap-on-tur-dal-imports/articleshow/107892870.cms,2024-02-22
India extends duty-free import of yellow peas by one month,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-extends-duty-free-import-of-yellow-peas-by-one-month/articleshow/107905308.cms,2024-02-22
"India’s pulses demand to grow exponentially as economy set to reach $5 tn, says DGFT.",https://www.thehindubusinessline.com/economy/agri-business/indias-pulses-demand-to-grow-exponentially-as-economy-set-to-reach-5-tn-says-dgft/article67854312.ece,2024-02-19
"APEDA facilitates export of Bananas from India to Moscow, Russia via Sea.",https://pib.gov.in/PressReleasePage.aspx?PRID=2006916,2024-02-19
Bharat Mart explained in points: What is it and how will it help?,https://economictimes.indiatimes.com/news/economy/foreign-trade/bharat-mart-explained-in-points-what-is-it-and-how-will-it-help/bharat-mart/slideshow/107693947.cms,2024-02-19
Suspend trans-shipment of Bangladesh export cargo via Delhi: AEPC to Govt,https://economictimes.indiatimes.com/news/economy/foreign-trade/suspend-trans-shipment-of-bangladesh-export-cargo-via-delhi-aepc-to-govt/articleshow/107721784.cms,2024-02-19
"India initiates anti-dumping probe into imports of solar glass from China, Vietnam",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-initiates-anti-dumping-probe-into-imports-of-solar-glass-from-china-vietnam/articleshow/107743688.cms,2024-02-19
India's small exporters reel as Red Sea crisis helps rivals nab business,https://economictimes.indiatimes.com/news/economy/foreign-trade/indias-small-exporters-reel-as-red-sea-crisis-helps-rivals-nab-business/articleshow/107744937.cms,2024-02-19
Indonesia trade resumes after import permits issued.,https://www.fruitnet.com/asiafruit/indonesia-trade-resumes-after-import-permits-issued/258539.article,2024-02-13
Bangladesh seeks onion imports from India.,https://www.freshplaza.com/asia/article/9599761/bangladesh-seeks-onion-imports-from-india/,2024-02-13
Duty concession on gold will be major concern for India under proposed FTA with Peru: GTRI,https://economictimes.indiatimes.com/news/economy/foreign-trade/duty-concession-on-gold-will-be-major-concern-for-india-under-proposed-fta-with-peru-gtri/articleshow/107600774.cms,2024-02-13
Freight subsidy to promote agri products export.,https://www.fnbnews.com/Top-News/freight-subsidy-to-promote-agri-products-export-76627,2024-02-09
Russia Turns to India for Bananas Amidst Dispute with Ecuador.,https://krishijagran.com/agriculture-world/russia-turns-to-india-for-bananas-amidst-dispute-with-ecuador/,2024-02-09
"India, Israel discuss agro-tech collaboration; grape, date farming in focus.",https://www.business-standard.com/industry/agriculture/india-israel-discuss-agro-tech-collaboration-grape-date-farming-in-focus-124020701657_1.html,2024-02-09
Russia buys bananas and papayas from India amid spat with Ecuador.,https://economictimes.indiatimes.com/news/economy/foreign-trade/russia-buys-bananas-and-papayas-from-india-amid-spat-with-ecuador/articleshow/107495434.cms,2024-02-08
"APEDA promotes export of agricultural products, including millets, from India.",https://pib.gov.in/PressReleasePage.aspx?PRID=2003546,2024-02-08
"India eyes $100 billion investment deal with Switzerland, Norway",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-eyes-100-billion-investment-deal-with-switzerland-norway/articleshow/107500302.cms,2024-02-08
China extends anti-dumping duties on Indian chemical for five years,https://economictimes.indiatimes.com/news/economy/foreign-trade/china-extends-anti-dumping-duties-on-indian-chemical-for-five-years/articleshow/107501153.cms,2024-02-08
India will seek an end to WTO’s 1998 tariff freeze on digital trade,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-will-seek-an-end-to-wtos-1998-tariff-freeze-on-digital-trade/articleshow/107526082.cms,2024-02-08
"ICCC India Mission 2024: Delegation reaches midpoint, extends invitation to Gujarat CM for Gala event",https://economictimes.indiatimes.com/news/economy/foreign-trade/iccc-india-mission-2024-delegation-reaches-midpoint-extends-invitation-to-gujarat-cm-for-gala-event/articleshow/107526368.cms,2024-02-08
"Series of initiatives taken to boost investments, trade, promote eco activity: Piyush Goyal.",https://economictimes.indiatimes.com/news/economy/policy/series-of-initiatives-taken-to-boost-investments-trade-promote-eco-activity-piyush-goyal/articleshow/107467542.cms,2024-02-07
India is considering to extend parboiled rice tax in risk to world supply,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-is-considering-to-extend-parboiled-rice-tax-in-risk-to-world-supply/articleshow/107487732.cms,2024-02-07
Govt directs ECGC to maintain moratorium on insurance rates for exporters,https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-directs-ecgc-to-maintain-moratorium-on-insurance-rates-for-exporters/articleshow/107491771.cms,2024-02-07
"Bangladesh will import 34,000 tonnes of potatoes from India to tame price.",https://ddnews.gov.in/international/bangladesh-will-import-34000-tonnes-potatoes-india-tame-price-0,2024-02-06
Banks to expedite resolution with exporters for trade facilitation.,https://economictimes.indiatimes.com/news/economy/foreign-trade/banks-to-expedite-resolution-with-exporters-for-trade-facilitation/articleshow/107436862.cms,2024-02-06
"India seeks greater market access for steel, rice, shrimp from S Korea",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-seeks-greater-market-access-for-steel-rice-shrimp-from-s-korea/articleshow/107407458.cms,2024-02-06
Banks to expedite resolution with exporters for trade facilitation,https://economictimes.indiatimes.com/news/economy/foreign-trade/banks-to-expedite-resolution-with-exporters-for-trade-facilitation/articleshow/107436862.cms,2024-02-06
"Govt extends export incentive scheme for apparel, garment till March 2026",https://www.business-standard.com/economy/news/govt-extends-export-incentive-scheme-for-apparel-garment-till-march-2026-124020101070_1.html,2024-02-02
India taking steps to safeguard vessels in Red Sea: Piyush Goyal,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-taking-steps-to-safeguard-vessels-in-red-sea-piyush-goyal/articleshow/107335871.cms,2024-02-02
"India-Indonesia eye pharma, transport infra & FinTech to expand economic coop",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-indonesia-eye-pharma-transport-infra-fintech-to-expand-economic-coop/articleshow/107343085.cms,2024-02-02
Bangladesh: Govt ready to import rice with reduced duty: Food Minister.,https://en.somoynews.tv/news/2024-01-31/govt-ready-to-import-rice-with-reduced-duty-food-minister,2024-02-01
Opportunities for India-Australia economic and trade cooperation limitless: Experts.,https://economictimes.indiatimes.com/news/economy/foreign-trade/opportunities-for-india-australia-economic-and-trade-cooperation-limitless-experts/articleshow/107265018.cms,2024-01-31
India seeks investment commitment from Switzerland under proposed EFTA trade pact: Official.,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-seeks-investment-commitment-from-switzerland-under-proposed-efta-trade-pact-official/articleshow/107257783.cms,2024-01-31
Govt slashes import duty on mobile parts,https://economictimes.indiatimes.com/news/economy/foreign-trade/govt-slashes-import-duty-on-mobile-parts/articleshow/107280608.cms,2024-01-31
India on track to export record-low diesel to Europe in January as Red Sea risks drive up freight costs,https://www.thehindu.com/business/Economy/india-on-track-to-export-record-low-diesel-to-europe-in-january-as-red-sea-risks-drive-up-freight-costs/article67792159.ece,2024-01-30
"Bangladesh: PM Hasina directs to reduce import duty on rice, edible oil, sugar, date before Ramadan.",https://www.dhakatribune.com/bangladesh/338071/pm-hasina-directs-to-reduce-import-duty-on-rice,2024-01-30
India seeks investment commitment from Switzerland under proposed EFTA trade pact: Official,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-seeks-investment-commitment-from-switzerland-under-proposed-efta-trade-pact-official/articleshow/107257783.cms,2024-01-30
India on track to export record-low diesel to Europe in Jan as Red Sea risks weigh,https://economictimes.indiatimes.com/news/economy/foreign-trade/india-on-track-to-export-record-low-diesel-to-europe-in-jan-as-red-sea-risks-weigh/articleshow/107258168.cms,2024-01-30
"China threat is an opportunity for India-US relationship to make strong agreements, FTA: Congressman Issa",https://economictimes.indiatimes.com/news/economy/foreign-trade/china-threat-is-an-opportunity-for-india-us-relationship-to-make-strong-agreements-fta-congressman-issa/articleshow/107259883.cms,2024-01-30
EU modifies the frequency of controls on food imports.,https://www.foodsafetynews.com/2024/01/eu-modifies-frequency-of-controls-on-food-imports/,2024-01-29
"India key producer, exporter due to robust agri sector: Sitharaman.",https://www.hindustantimes.com/india-news/india-key-producer-exporter-due-to-robust-agri-sector-sitharaman-101706208598318.html,2024-01-29
"India rice rates spring to record highs on dwindling supplies, firm demand",https://economictimes.indiatimes.com/news/economy/foreign-trade/india-rice-rates-spring-to-record-highs-on-dwindling-supplies-firm-demand/articleshow/107158390.cms,2024-01-29
"Exports from Kolkata port may be hit due to soaring freight rate, rice ban, geopolitical turmoil",https://economictimes.indiatimes.com/news/economy/foreign-trade/exports-from-kolkata-port-may-be-hit-due-to-soaring-freight-rate-rice-ban-geopolitical-turmoil/articleshow/107204709.cms,2024-01-29
"Longer disruptions at Red Sea trade route may hurt auto, electronics production: GTRI",https://economictimes.indiatimes.com/news/economy/foreign-trade/longer-disruptions-at-red-sea-trade-route-may-hurt-auto-electronics-production-gtri/articleshow/107205066.cms,2024-01-29
