title,page_content,article_published_date,author,url
HRAWI conducts latest FoSTaC programme in Mumbai,"The Hotel and Restaurant Association (Western India) – HRAWI, recently conducted an extensive Food Safety Supervisor Training in Advance Catering (FoSTaC) programme, in partnership with the Food Safety and Standards Authority of India (FSSAI). Conducted at Hotel Le Grande on July 10, the event attracted 18 hospitality professionals, who were trained by Praveen Andrews of Parikshan. The FSSAI initiative aims to arm professionals with the critical knowledge and skills required to uphold safe and healthy food practices.The training session commenced with an inauguration by a panel of distinguished individuals including, Andrews; Oscar Pereira – operation manager, Hotel Le Grande; Sadanand Mohanty – purchase manager, Hotel Le Grande; Trupti Pawar – secretary general, and Manasi Parab – admin assistant, training & seminar, HRAWI.Participants engaged in comprehensive training on critical aspects such as food handling, preparation, hygiene, sanitation and waste management. By focusing on these essential areas, the programme equipped attendees with practical skills to implement rigorous food safety protocols in their daily operations.",2024-07-19,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/hrawi-conducts-latest-fostac-programme-in-mumbai-79086
Camposol & Ninjacart forge strategic partnership for Peruvian blueberries,"Camposol, Peru’s largest blueberry producer joins forces with Walmart-backed Ninjacart, India's leading agri-startup that leverages technology and data to organise the global agriculture ecosystem to bring high-quality blueberries to Indian consumers.Camposol and Ninjacart’s strategic partnership is transforming the blueberry market in India through Ninjacart’s digital marketplace, tech-enabled supply chain, cutting edge solutions, and a data-driven approach. This collaboration aims to facilitate its market entry through a curated strategy, utilising the brand’s expertise and data systems to drive accelerated growth. Leveraging Ninjacart's extensive network of over 100,000 retailers, the partnership ensures a reliable and consistent supply of high-quality blueberries, benefiting consumers and retailers alike. Additionally, the alliance enhances the company’s operational stability in India through data-driven insights based on volume, facilitating faster market access to additional cities and consumers. The brand also guarantees end-to-end traceability, bolstering transparency in the safety and origin of premium blueberries for consumers.Sergio Torres, senior vice president-commercial operations, Camposol, said, ""Ninjacart’s strong presence and deep understanding of the Indian consumer will be invaluable in establishing Camposol as a leading supplier of blueberries in India. Leveraging Ninjacart’s market intelligence ensures a curated entry strategy that seamlessly introduces high-quality blueberries to the Indian market. Their extensive distribution network means consumers across India will have easy access to fresh and premium blueberries through 100,000+ retail outlets. Together, we are poised to redefine accessibility and perception of blueberries, ensuring that consumers across the country have access to fresh, high-quality produce.""Sharath Loganathan, co-founder and head of international business of Ninjacart, said, ""We are thrilled to announce our partnership with Camposol, leveraging their superior sourcing capabilities for strong supply. As the largest Peruvian exporter of blueberries, Camposol's vertically integrated operations ensure top-quality produce is delivered efficiently across their operations. Our strong connections with kirana stores, supermarkets, modern trade outlets, e-commerce/quick commerce platforms, and HoReCA partners enable global brands to seamlessly reach premium customers.”",2024-07-19,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/camposol--ninjacart-forge-strategic-partnership-for-peruvian-blueberries-79085
Shervani Pebbles & Pines Corbett offers unique blend of comfort & adventure,"Shervani Hotels, one of the distinguished names in the hospitality industry unveils Shervani Pebbles & Pines Corbett, a distinctive 48-room boutique hotel that offers a unique blend of comfort and adventure.Nestled within the heart of Jim Corbett National Park, the hotel is a haven for nature lovers and adventurers. It provides a captivating magnificence of the jungle to break free from the ordinary and embrace the extraordinary.Immerse yourself in the sights and sounds of the wild, as each moment here promises an unforgettable encounter with nature. Be it seeking thrilling wildlife safaris, tranquil moments by the river, or simply a peaceful escape from the urban chaos, the boutique hotel in Jim Corbett promises a fusion of opulence and untamed wilderness.It features 48 smartly furnished rooms and suites, catering to the diverse requirements of the guests. These include 24 Deluxe Rooms, 16 Premium Rooms, and 8 Superior Rooms, boasting jacuzzies for added indulgence.Designed to offer utmost comfort and convenience, all accommodations are equipped with state-of-the-art amenities for a relaxing and rejuvenating stay.Ahsan Shervani, vice president, said, “Shervani Pebbles & Pines Corbett is more than just a boutique hotel; it’s a gateway to experiencing the true essence of the wild. Its exceptional service, lavish accommodations, thrilling wildlife safaris and numerous activities make it the perfect destination to indulge in opulent comfort and adventure.’’",2024-07-19,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/shervani-pebbles--pines-corbett-offers-unique-blend-of-comfort--adventure-79084
Trisara showcases sustainable dining via new Wellspring programme,"Trisara, one of Phuket’s most alluring stays, is transporting guests from resort to farm to table then back again courtesy of a new limited-time program, Wellspring.The package is a collaboration with Tri Vananda, a $182 million wellness community in northern Phuket, conceived by Montara Hospitality Group, the visionary owners.In addition to entitling guests to a two-night stay, the package will showcase the sustainability innovations that have earned the group a reputation for forward-thinking.First guests will be shown around the 16,000 sqm Pru Jampa organic farm within the Tri Vananda boundaries. The farm supplies produce for PRU — Phuket’s only Michelin-starred restaurant — and sister restaurant JAMPA at Tri Vananda, which holds a Michelin Green Star for its zero-waste cuisine.After touring the farm, guests can experience a set lunch at JAMPA, which follows a farm-to-table and zero-waste philosophy, utilising locally grown ingredients and live fire. The venue, helmed by executive chef Rick Dingen, holds a prestigious MICHELIN Green Star accolade, cementing its position as a leader in eco-conscious dining.Kittisak Pattamasaevi, CEO, Montara Hospitality Group, said, “There’s a huge interest among the public in dining experiences that support local communities and showcase amazing Thai produce. The Wellspring program intertwines sustainable cuisine and nature with luxury, showcasing our commitment to sustainable cooking and sourcing and delighting guests through innovation.”In addition to the farm and dining experiences at Tri Vananda, the Wellspring package will also entitle guests to a round-trip airport transfer between Phuket International Airport and Trisara; daily international breakfast for 2 persons per bedroom; and complimentary non-motorized water sports including sailing, windsurfing, kayaking, stand-up paddleboarding, and snorkelling. The Wellspring offer is available from 15 July-31 October 2024.Another limited-time offer available from now until the end of September, entitles guests to similar benefits to those on the Wellspring package with additional perks including In-room homemade chocolate truffles, cookies, tea, and coffee, and THB 2,500 resort credit per bedroom per night redeemable for on-site wellbeing activities or dining experiences.It offers an array of private pool suites and villas, perfect for families and groups of friends. Guests can choose from residential villas ranging from 2-bedroom- to 8-bedroom options, each designed to provide privacy and luxury amidst the resort's lush tropical surroundings.Other highlights include a host of acclaimed culinary concepts. These include PRU — one of Thailand’s most critically lauded venues —Mediterranean-inspired beachside venue CIELO, and SAT, where the finest locally sourced ingredients are utilised for Southern Thai recipes passed down through generations.The resort’s Jara Wellness program provides guests with comprehensive well-being options, including tailored wellness plans by dedicated wellness concierges. It also offers a variety of activities such as Trisara Cruises, exploring the beautiful waters surrounding Phuket.“We look forward to welcoming families and friends seeking a memorable retreat filled with relaxation, adventure, and genuine Thai hospitality,” concluded Kitt.",2024-07-19,"Phuket, Thailand",https://www.fnbnews.com/Top-News/trisara-showcases-sustainable-dining-via-new-wellspring-programme-79083
"Government is expected to do higher allocation towards agriculture, welfare schemes, job creation and rural housing","The Union Budget will focus on Supporting consumption via higher allocation for rural economy, welfare schemes and agriculture. It expects focus on manufacturing and capex to continue as Government likely to retain its interim budget’s target of capex. Government is likely to retain capex target for FY25 at Rs 11.1 trillion. Overall public capex grew by 15.1% in FY24. A slowdown in state capex and contraction in CPSE capex moderated overall public capex growth in FY24. CPSE capex have contracted over the past few years. However, FY25 interim budget saw a 5.2% growth in allocation to CPSEs for capex. For CPSEs, capex has been led by petroleum and natural gas, power, and renewable energy, according to CareEdge Ratings.On revenue front, the higher-than-expected transfer from the RBI could provide an additional upside of Rs 1.25 trillion to the non-tax revenue compared to budgeted amount. Gross tax revenue to grow by 11% in FY25, higher than budgeted growth of 10.6% led by strong growth in direct tax collections. A total upside of Rs 1.4 trillion in overall revenue collection when compared to estimates of interim budget (~Rs 1.25 trillion in non-tax revenue plus ~Rs 150 billion from tax revenue). Tax buoyancy at 1.04 marginally higher than budgeted buoyancy of 0.96 in FY25, according to CareEdge Ratings.Additional revenue growth expected to help reduce the fiscal deficit target for FY25 to 5% of GDP (from interim budget’s target of 5.1% of GDP), even after accounting for higher revenue expenditure. The company expects incremental revenue expenditure of Rs 750 billion compared to the Interim Budget estimate. The company expects higher projection of nominal GDP growth for FY25 at 10.7% (as against interim budget estimate of 10.5%). It says, general Government debt has shot up to 83% of GDP in FY24, resulting in high interest burden. With sovereign rating agencies watching the debt trajectory, the focus on fiscal consolidation should continue.The company believes Government borrowing is expected to fall, with net borrowing in the range of Rs 11.2-11.4 trillion (Rs 11.8 trillion as per Interim Budget) and gross borrowing expected between Rs 13.6-13.8 trillion (Rs 14.1 trillion as per Interim Budget) in FY25. Lower supply of G-secs in FY25, combined with increased demand resulting from passive inflows following India's inclusion in global bond indices, is expected to ease G-sec yields in the fiscal year.  Anticipation of the RBI initiating policy rate cuts in H2 may further exert downward pressure on G-sec yields. By the end of FY25, 10-year G-Sec yields are projected to range between 6.5-6.6%. It believes government's divestment plans have missed their targets for five consecutive years. Hence, Government is likely to stick to the FY25 target of miscellaneous capital receipts (includes divestment) of Rs 500 billion. However, achieving this target hinges on government undertaking big-ticket divestments. Government has relied on OFS route for undertaking divestments in the recent years. Issues like procedural delays, litigations by labour unions/interest groups, and pricing issues continue to slow divestments. According to Sachin Gupta, CRO & executive director, CareEdge Ratings, said, “Job creation will be a priority in this Union Budget with higher allocation for MNREGA and PLI for labour intensive sectors. The allocation under major PLI schemes have grown significantly in FY25. Large Scale Electronics and IT Hardware, Automobiles and auto components and Pharma has dominated most of the allocation under the PLI Scheme in the interim budget. Government may look to increase allocation or include more labour-intensive sectors like textiles, leather and footwear and toys to aid job creation. We also expect welfare schemes to get higher allocation in this budget, while Capex will continue to remain in focus.”.Rajani Sinha, chief economist, CareEdge Ratings, said, “Over past couple of years, share of revenue expenditure in total expenditure has declined from pre-pandemic average of ~88%. We expect FY25 revenue expenditure to grow by 6.8%, higher than budgeted growth of 4.6% resulting in ~ Rs 750 billion higher allocation compared to interim budget’s estimate. Government is expected to do higher allocation towards agriculture, welfare schemes, job creation and rural housing. Some of the major schemes/ministries that can see higher allocation include MNREGA, PM Awas Yojana, PM Gram Sadak Yojana, PM Kisan Samman Nidhi and schemes related labour intensive MSME sectors. We estimate total divestment potential of Rs 11.5 trillion (assuming Centre retains 51% stake). However, decision to divest will depend on market conditions and strategic nature of the firms. In case divestment lags going ahead due to headwinds, the government will continue with its focus on asset monetization. Plausible divestment includes Shipping Corp, Pawan Hans, NMDC Steel and CONCOR.”",2024-07-18,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/government-is-expected-to-do-higher-allocation-towards-agriculture-welfare-schemes-job-creation-and-rural-housing-79080
Xscale announces 'Coffee with Xscale 2.0' to drive growth,"Xscale, a leading B2B consulting and Technology firm, announces the second edition of its flagship event, named, 'Coffee with Xscale 2.0'. The event follows the tremendous success of its inaugural event - ‘Coffee with Xscale’. Aimed primarily at fostering collaboration, growth, and scalability of India's B2B SaaS and Tech community, the event will be held on July 20, 2024, at IIT Delhi. It will bring together founders, investors, venture capitalists, and CXOs from healthtech, fintech, and B2B SaaS & tech industries.The Indian SaaS and Tech community shows a robust outlook heading into 2024, poised to become a major growth engine with an anticipated 25X revenue growth over the next decade. Xscale’s event will catalyze growth for the community by bringing together over 150 participants, including 100+ founders, 30+ VC firms active in this sector, and 15+ CXOs from a divergent range of B2B-focused companies, on one platform. Neeraj Saxena, founder of Xscale, said, ""In today's rapidly evolving landscape of Enterprise SaaS and Tech, it is essential for startups and investors to reimagine their strategies to capitalize on the sector's potential fully. With the sector poised for exponential growth, our primary focus should be creating world-class products and expanding revenue streams globally. Despite the remarkable innovation shown by Indian founders, accessing global markets remains a critical challenge hindering their growth. Furthermore, investors need to navigate the maturity curve of Enterprise SaaS and Tech revenues and tailor their investment strategies accordingly. Developing a robust growth-centric strategy necessitates strong collaboration among all stakeholders within the ecosystem. We are confident that this event will play a crucial role in fostering a cohesive and supportive Enterprise SaaS and Tech community in India.""",2024-07-18,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/xscale-announces-coffee-with-xscale-20-to-drive-growth-79079
Stotrak Hotels announces the launch of ‘Sangam by Stotrak’ in Mussoorie,"Stotrak Hotels, an amalgamated experiential hotels chain with a presence in Uttarakhand, Himachal Pradesh and Rajasthan has announced the opening of ‘Sangam by Stotrak’, strategically located in the heart of Mussoorie in the scenic state of Uttarakhand. This new hotel, it's 4th in Mussoorie, offers an unparalleled experience for travellers seeking both comfort and convenience in one of India’s most cherished hill stations. With its prime location and stunning views, it is ideally situated near Jhula Ghar on the iconic Mall Road, Mussoorie. Guests can enjoy breathtaking views of the valley right from their rooms, making it the perfect place for those who wish to immerse themselves in the natural beauty of the region. Yogita N Goyal, co-founder of Stotrak Hotels, said, “With ‘Sangam by Stotrak’, we now offer an inventory of over 85 rooms in this Queen of Hill station. All our hotels here provide guests with the perfect blend of luxury, comfort, and accessibility, ensuring a memorable stay in Mussoorie.” It is designed to provide guests with a serene and comfortable retreat. The hotel features 10 beautifully appointed valley view rooms, each equipped with modern amenities to ensure a pleasant stay. Its’s central location ensures easy access to key attractions such as the historic CJM Hampton Court School, the ropeway to Gunn Hill Point, the local Tibetan market as well as the Martyrs Memorial. Guests can also enjoy multi-cuisine panoramic view of the picturesque valley, for a fulfilling experience at the all-day cafe Cafe de Curliees. Manish Goyal, founder of Stotrak Hotels, said, “With Sangam by Stotrak, not only are we expanding our footprint in Mussoorie we are also enhancing our portfolio of properties that offer exceptional and diverse experiences to our guests. This hotel is a testament to our dedication to creating unforgettable memories for our visitors.”",2024-07-18,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/stotrak-hotels-announces-the-launch-of-sangam-by-stotrak-in-mussoorie-79078
Vinod Cookware launches two new ranges of stainless steel triply pressure cookers with enhanced safety features,"Vinod Cookware, India’s leading cookware brand has launched two new stainless-steel pressure cookers under its Platinum Triply Collection.  With a full-body aluminum core for even heat distribution, hygienic 18/8 (AISI 403) stainless steel on the inside, and magnetic (AISI 430) stainless steel on the exterior, these pressure cookers offer consumers better construction, diverse functionality, and increased safety measures. The cutting-edge cookware is produced with Vinod Cookware's SAS Technology, which is a superior triply body and is available in various sizes to suit a wide range of kitchen and dining needs.The Platinum inner lid cookers come in four sizes—2L, 3L, 3.5L, and 5L. They are available in retail shops, online, and through marketplaces. The outer lid belly-shaped cooker will be concurrently available in shops and all online platforms shortly in 1.5, 3, 5, and 7-liter capacities, with further sizes to be added. With a 24-month guarantee and ISI and CE certifications, the cookers provide their consumers with a reliable and safe cooking experience. The users can enjoy the innovative fitted lid design which maximizes the cooking space, perfect for preparing multiple meals quickly and efficiently. The sparkling stainless-steel exterior not only adds a touch of elegance but is also dishwasher-safe for easy cleaning. The cookers are compatible with multiple cooktops and also come with 3 times the safety features including a Steam Release vent, fusible Safety valve, and Gasket Release System, thus keeping customer safety a top priority.Sunil Agarwal, director of Vinod Cookware, said, “We are elated to launch these pressure cookers under the Platinum Range, offering a combination of superior construction, versatile functionality, and enhanced safety features. Adding these to our extensive range, we’re proud that Vinod Cookware now boasts the largest range of stainless-steel pressure cookers under a single brand name in India. At Vinod Cookware, our concern for our client's safety drives us to produce high-quality goods. With SAS Technology, we have thoughtfully built the Inner lid and Outer lid pressure cookers to meet the highest standards of customer satisfaction and give superior kitchenware solutions.”",2024-07-18,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/vinod-cookware-launches-two-new-ranges-of-stainless-steel-triply-pressure-cookers-with-enhanced-safety-features-79077
Coca Cola India & Gram Unnati launch ‘Project Mango Unnati’,"Coca Cola India, in collaboration with Gram Unnati, has launched ‘Project Mango Unnati’, with an aim to revolutionise sustainable mango cultivation initiative, focusing on the Alphonso and Totapuri varieties in Karnataka.Project Unnati will collaborate closely with state horticulture agencies such as Krishi Vigyan Kendra (KVK), the Mango Board, the Indian Institute of Horticultural Research (IIHR), and various horticulture departments across different districts.Aneesh Jain, CEO and founder, Gram Unnati, said, “Gram Unnati is proud to partner with Coca-Cola India on this transformative project that underscores our commitment to sustainable agriculture and farmer empowerment. By adopting modern practices and focusing on quality, we aim to significantly enhance the livelihoods of mango farmers in Karnataka. Together, we will drive sustainable growth and innovation in mango farming, benefiting farmers and the environment alike.""Rajesh Ayapilla, senior director- CSR and sustainability for Coca Cola India and Southwest Asia, said, “Farmers are the backbone of India’s horticulture system. With Project Mango Unnati, we aim to elevate the livelihoods of these farmers with advanced horticulture solutions, empowering them to significantly increase their incomes. This aligns with the Government of India’s vision for Atma Nirbhar Bharat, making the agrarian economy self-reliant.”",2024-07-18,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/coca-cola-india--gram-unnati-launch-project-mango-unnati-79076
Ayushakti’s Annual Khichdi Festival kicks off in Mumbai,"Ayushakti, one of the leading and most trusted Ayurvedic health centres, has announced the return of its much-awaited Annual Khichdi Festival. Hosted from July 1 to July 31, 2024, at the Swadshakti restaurant in Malad, Mumbai, this festival celebrates health, nutrition, and culinary delight, featuring a variety of Ayurvedic khichdi dishes.It will offer a heavenly dining experience that embodies the essence of Ayurveda and the joy of the monsoon.This year’s festival promises an array of 12 exotic and Ayurvedic khichdi options, each designed to provide a divine culinary experience during the monsoon season. According to Ayurveda, the kapha element of the body is heightened during monsoon, making sattvic and wholesome foods like mung dal, yellow mung dal, and toor dal especially beneficial.The festival menu includes unique and flavourful varieties such as Mumbai Pav Bhaji Khichdi, Paneer Bhurji Masala Khichdi, Dal Palak Tadka Khichdi and Quinoa Dal Veg Khichdi.Each dish will be served with Masala Moong Papad, Salad, and Energy Kadhi, ensuring a complete and balanced meal. Priced at Rs 260 each, these dishes offer not only taste but also nutritional value.Ayushakti invites guests and patrons to enjoy the festival, promising delicious, nutritious, and Ayurvedic khichdi that provides a warm, cozy supper perfect for the rainy season.",2024-07-18,"Shardul Nautiyal, Mumbai",https://www.fnbnews.com/Top-News/ayushaktis-annual-khichdi-festival-kicks-off-in-mumbai-79070
"Price of Chana, Tur & Urad in major mandis declined by up to 4% in past month","The Department of Consumer Affairs organised a meeting with Retailers Association of India (RAI), to discuss the price scenario in respect of pulses and compliance to the stock limits for Tur and Chana prescribed in the Removal of Licencing Requirements, Stock Limits and Movement Restrictions on Specified Foodstuffs (First and Second Amendments) order dated June 21, 2024, and July 11, 2024. The meeting was chaired by Nidhi Khare, secretary, Department of Consumer Affairs, Government of India.RAI has 2300+ members and has about 6,00,000 + outlets in the country. The secretary, informed that prices of Chana, Tur and Urad in major mandis had declined by up to 4% in past one month, but retails prices have not seen similar decline. She pointed out the diverging trends between wholesale mandi prices and retail prices, which seems to suggest that retailers are deriving higher profit margin.She also pointed out that sowing progress for Kharif pulses are robust. Government has undertaken numerous efforts in facilitating enhanced production of Tur and Urad in major Kharif pulses producing States, including distribution of good quality seeds to farmers through NAFED and NCCF and the Department of Agriculture is in continuous engagement with the State Agriculture Departments to provide all necessary support.Considering the current price scenario and Kharif outlook, secretary asked retail industry to extend all possible support to Government in its efforts to keep prices of dals affordable to the consumers. She informed that stock positions of all stockholding entities, including that of big chain retailers are being closely monitored to ensure that the prescribed limits are not breached. Breach of stock limits, unscrupulous speculation and profiteering on the part of market players would invite stern actions from Government.Retail industry participants assured that they would make necessary adjustments in their retail margins and maintain at nominal level to ensure availability of prices at affordable prices to the consumers.",2024-07-18,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/price-of-chana-tur--urad-in-major-mandis-declined-by-up-to-4-in-past-month-79075
Hoteliers partake in ‘Ek Ped Maa Ke Naam’ campaign,"The Indore Hoteliers Association (IHA) and the Hotel and Restaurant Association (Western India) - HRAWI participated in the ‘Ek Ped Maa Ke Naam’ mega tree plantation drive which set a new world record by planting 1.1 million saplings in Indore in a single day. Led by Kailash Vijayvargiya, minister of Government of Madhya Pradesh, the plantation drive saw active participation from Sumit Suri, President of IHA and a large team of hoteliers. The event was graced by the presence of Home Minister of India, Amit Shah and Chief Minister of Madhya Pradesh, Mohan Yadav, contributing to Indore's entry into the Guinness Book of World Records. Over the past week, 5.1 million saplings have been planted in Indore by a team of over 700 hoteliers.Sumit Suri, EC member and State co-ordinator - Madhya Pradesh, HRAWI, said, “The initiative was part of the mega tree plantation drive under the nationwide campaign ‘Ek Ped Maa Ke Naam,’ launched by PM Narendra Modi to mark World Environment Day on June 5. Under this campaign, 1.4 billion trees will be planted across the country, with 5.5 million in Madhya Pradesh, including 5.1 million in Indore. We are thrilled to have accomplished this task, especially as we set a world record by planting 1.1 million saplings in a day.” The hospitality industry is at the forefront of initiatives for a greener and more sustainable environment in the country. HRAWI has been leading these efforts, prioritizing sustainability and raising awareness in hospitality practices.Pradeep Shetty, president, HRAWI, said, “We are proud of this accomplishment but more excited about living our values. In the hospitality industry, we are entrusted as custodians of trust and guardians of the environment. It’s not just about fulfilling ethical obligations; it’s about forging a sustainable future. This successful plantation drive underscores the growing momentum behind sustainability and green investments in our industry. Alongside this, we continue to align our sustainability objectives with the Mission LiFE (Lifestyle for Environment) pledge, making daily changes to protect the environment and motivating others to adopt environmentally friendly habits.”",2024-07-18,"Our Bureau, Mumbai",https://www.fnbnews.com/Top-News/hoteliers-partake-in-ek-ped-maa-ke-naam-campaign-79074
G.D. Foods marks presence in Dubai as official condiment partner of India-GCC Buyer Seller Meet,"G.D. Foods Mfg.(I) Pvt. Ltd., the food products company behind TOPS, one of India’s leading FMCG brands, was the official condiment partner of the recently concluded 4th Edition of the India-GCC Buyers-Sellers Meet (BSM) on Food & Beverage, that took place on July 10 and 11, 2024, in Dubai, UAE. This event aimed to provide a premier business platform for India's existing food and beverage exporters, while also opening doors for new entrants in the export sector.The India-GCC BSM featured a delegation of 35-40 Indian F&B exporters and brought together 150 leading buyers, importers, prominent distributors, and iconic modern trade outlets from GCC countries, including Oman, Qatar, Kuwait, Bahrain, and the UAE. The event showcased the most diverse range of new and innovative products from the Indian F&B industry.Team TOPS was present in full force at the Meet, showcasing their exciting and comprehensive range of FMCG products covering multiple categories including ketchup, culinary sauces, pickles, noodles, breakfast cereals and cake mixes to name but a few. The team interacted with distinguished guests from leading retail chains across the world to exchange ideas and forge connections, fostering new business relationships and enhancing India's presence in international markets. Nitin Seth, vice chairman, G.D. Foods, said, “TOPS is a global brand with a footprint in over 30 countries through various distributors and channel partners. Our participation in such global events is a sign of our deep-rooted commitment to put Indian culinary tastes on the global map and become one of the top processed food brands across the globe by 2030. We look forward to more such platforms where we can connect with global partners and bring the TOPS promise of excellence and taste to consumers across the world.”",2024-07-18,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/gd-foods-marks-presence-in-dubai-as-official-condiment-partner-of-indiagcc-buyer-seller-meet-79073
NeuWorld Spirits launches Living Legend Premium Vodka,"NeuWorld Spirits, a conglomerate with a diverse portfolio spanning from tobacco to FMCG to real estate, has announced its venture in the premium white spirits segment with the launch of Living Legend Premium Vodka. Crafted to redefine excellence in the spirits industry, it embodies sophistication and taste. The company now has two whisky brands – Downing Street and Royal Tribe and a vodka brand Living Legend Premium Vodka.It is meticulously crafted from the highest quality select grains, distilled five times to ensure purity and smoothness. Its unique flavour profile is a harmonious blend tailored to perfection. The nose has a clean and neutral aroma, with a subtle hint of freshness, while the palate is characterised by a soft and velvety texture that delicately coats the mouth without any harshness. The finish is long and smooth and it leaves behind a pleasant warmth that lingers, inviting enthusiasts to savour the moment long after the last drop is enjoyed. This exquisite vodka offers a subtle sweetness that allows its premium ingredients to shine through, tantalising the taste buds with every sip.It will be available in Quart and Nip sizes in select markets starting with Punjab, Uttar Pradesh and Haryana, followed by Delhi, Chandigarh, and Himachal Pradesh.Poonam Chandel, managing director of NeuWorld Spirits, said, ""We are thrilled to introduce Living Legend Premium Vodka. This isn't just about launching another spirit; it is about setting a new standard in the realm of vodka. Living Legend embodies unparalleled quality, craftsmanship, and an exceptional taste profile that we believe will redefine the vodka experience for the evolved consumers. It's a testament to our dedication to innovation and excellence in every sip.""",2024-07-18,"Our Bureau, New Delhi",https://www.fnbnews.com/Top-News/neuworld-spirits-launches-living-legend-premium-vodka-79072
